族語	中文翻譯	從語料庫移除	音檔
paliyun	換；替換	保留	Sakizaya_A2-13-18.mp3
paluma	種植	保留	Sakizaya_A2-13-19.mp3
panan	門	保留	Sakizaya_A2-13-21.mp3
pangkiw	一半；一對物品的某一半（某一個）	保留	Sakizaya_A2-13-22.mp3
papah	葉子	保留	Sakizaya_A2-13-24.mp3
pasayza	往（某個方向、地區）	保留	Sakizaya_A2-13-25.mp3
paysin	禁忌	保留	Sakizaya_A2-13-27.mp3
paysu	錢	保留	Sakizaya_A2-13-28.mp3
piciki	髒	保留	Sakizaya_A2-13-30.mp3
pida; paysu; kalisiw	錢	保留	Sakizaya_A2-13-31.mp3
pina/papina	多少	保留	Sakizaya_A2-13-32.mp3
pitu	七	保留	Sakizaya_A2-13-33.mp3
pudac	果皮；樹皮	保留	Sakizaya_A2-13-35.mp3
puduh	螞蟻	保留	Sakizaya_A2-13-36.mp3
puenel	矮	保留	Sakizaya_A2-13-37.mp3
putah	庭院；家屋前的院子	保留	Sakizaya_A2-13-38.mp3
saba	弟弟	保留	Sakizaya_A2-14-1.mp3
sabana	妹妹	保留	Sakizaya_A2-14-2.mp3
sabaw cacay	十一	保留	Sakizaya_A2-14-3.mp3
sabaw enem	十六	保留	Sakizaya_A2-14-4.mp3
sabaw lima	十五	保留	Sakizaya_A2-14-5.mp3
sabaw pitu	十七	保留	Sakizaya_A2-14-6.mp3
sabaw sepat	十四	保留	Sakizaya_A2-14-7.mp3
sabaw siwa	十九	保留	Sakizaya_A2-14-8.mp3
sabaw tulu	十三	保留	Sakizaya_A2-14-9.mp3
sabaw tusa	十二	保留	Sakizaya_A2-14-10.mp3
sabaw walu	十八	保留	Sakizaya_A2-14-11.mp3
sadingsingngan	春天	刪除	Sakizaya_A2-14-12.mp3
sakizaya	本族的自稱用語	刪除	Sakizaya_A2-14-13.mp3
salul	海菜	刪除	Sakizaya_A2-14-14.mp3
salungan	美麗	刪除	Sakizaya_A2-14-15.mp3
samukun	鐵鎚	刪除	Sakizaya_A2-14-16.mp3
sananal	早上	刪除	Sakizaya_A2-14-17.mp3
sangaw	橋樑	刪除	Sakizaya_A2-14-18.mp3
sanglac	白色	保留	Sakizaya_A2-14-19.mp3
sansandub	晚上	刪除	Sakizaya_A2-14-20.mp3
sapaiyu	藥	保留	Sakizaya_A2-14-12.mp3
sapakan	餌	保留	Sakizaya_A2-14-13.mp3
sapaluma	種苗	保留	Sakizaya_A2-14-14.mp3
sapiemic	夾子	保留	Sakizaya_A2-14-15.mp3
sasait	剪刀	保留	Sakizaya_A2-14-17.mp3
sasingalan	窗戶	保留	Sakizaya_A2-14-18.mp3
sasipu	橡皮擦	保留	Sakizaya_A2-14-28.mp3
sasiwasiw	篩子	保留	Sakizaya_A2-14-20.mp3
sauwac	小溪；河流	保留	Sakizaya_A2-14-21.mp3
sawsawni	經常	保留	Sakizaya_A2-14-22.mp3
saydan; singsi	老師	保留	Sakizaya_A2-14-23.mp3
saytu	菜刀	保留	Sakizaya_A2-14-24.mp3
selit	滑的	保留	Sakizaya_A2-14-25.mp3
sema	舌頭	保留	Sakizaya_A2-14-26.mp3
sepat	四	保留	Sakizaya_A2-14-27.mp3
sepat a bataan	四十	保留	Sakizaya_A2-14-28.mp3
sikawaw	勤勞	保留	Sakizaya_A2-14-38.mp3
singsi	老師（日語借字）	保留	Sakizaya_A2-14-30.mp3
siwa	九	保留	Sakizaya_A2-14-31.mp3
siwa a bataan	九十	保留	Sakizaya_A2-14-32.mp3
sizi	羊	保留	Sakizaya_A2-14-33.mp3
sulda	雪；冰	保留	Sakizaya_A2-14-34.mp3
sumanah	紅色	保留	Sakizaya_A2-14-44.mp3
sunsuli	李子	保留	Sakizaya_A2-14-36.mp3
tabaki	大；粗	保留	Sakizaya_A2-15-1.mp3
