族語	中文翻譯	從語料庫移除	覆寫音檔網址	音檔網址
mhuqil	死亡	保留		http://ilrdc.tw/grammar/sound/5/A2-11-57.mp3
mhuriq	濕的	保留		http://ilrdc.tw/grammar/sound/5/A2-11-58.mp3
micux	攪動；划（槳）；舀（飯）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-59.mp3
migin	尋找	保留		http://ilrdc.tw/grammar/sound/5/A2-11-60.mp3
miicuw	害怕	保留		http://ilrdc.tw/grammar/sound/5/A2-11-61.mp3
milo	跳	保留		http://ilrdc.tw/grammar/sound/5/A2-11-62.mp3
mimah	喝	保留		http://ilrdc.tw/grammar/sound/5/A2-11-63.mp3
miric	羊	保留		http://ilrdc.tw/grammar/sound/5/A2-11-64.mp3
misan	冬天	保留		http://ilrdc.tw/grammar/sound/5/A2-11-65.mp3
misu	我+你（融合式）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-66.mp3
miyan	我們（排除式）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-67.mp3
mkaro	爬（建物）；攀爬	保留		http://ilrdc.tw/grammar/sound/5/A2-11-68.mp3
mkaxa	後天	保留		http://ilrdc.tw/grammar/sound/5/A2-11-69.mp3
mkela	知道；會；懂	保留		http://ilrdc.tw/grammar/sound/5/A2-11-70.mp3
mkkarang	爬行	保留		http://ilrdc.tw/grammar/sound/5/A2-11-71.mp3
mkkesa	走路	保留		http://ilrdc.tw/grammar/sound/5/A2-11-72.mp3
mknedux	厚	保留		http://ilrdc.tw/grammar/sound/5/A2-11-73.mp3
mksaro; tqeraq	躺	保留		http://ilrdc.tw/grammar/sound/5/A2-11-74.mp3
mkure	瘦	保留		http://ilrdc.tw/grammar/sound/5/A2-11-75.mp3
mlawa / lmawa	喊；呼喊；邀請	保留		http://ilrdc.tw/grammar/sound/5/A2-11-76.mp3
mlgelu	晃動；搖動	保留		http://ilrdc.tw/grammar/sound/5/A2-11-77.mp3
mlgelu	搖動	保留		http://ilrdc.tw/grammar/sound/5/A2-11-78.mp3
mmsepac	八	保留		http://ilrdc.tw/grammar/sound/5/A2-11-79.mp3
mmsepac kmxalan	八十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-80.mp3
mmteru	六	保留		http://ilrdc.tw/grammar/sound/5/A2-11-81.mp3
mmteru kmxalan	六十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-82.mp3
mnarux	痛；生病	保留		http://ilrdc.tw/grammar/sound/5/A2-11-83.mp3
mngari	九	保留		http://ilrdc.tw/grammar/sound/5/A2-11-84.mp3
mngari kmxalan	九十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-85.mp3
mngihun	辣；苦	保留		http://ilrdc.tw/grammar/sound/5/A2-11-86.mp3
mntena	一樣；相同	保留		http://ilrdc.tw/grammar/sound/5/A2-11-87.mp3
